frage_nr,column,scale_max,midpoint_tested,n,mean,median,std,c1,c2,c3,c4,c5,k_above,k_below,ties,m_no_ties,p_value,significant
4,"Frage 4 - Bitte bewerten Sie den folgenden Punkt. - Ich nutze regelmäßig Zug-/Bus-Apps, um Reiseentscheidungen zu treffen / (Spalten 1-5)",5,3,26,1.9615384615384615,1.5,1.280024038235821,13,7,2,2,2,4,20,2,24,0.001543879508972168,True
6,Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher im Umgang mit Grafiken. / (Spalten 1-5),5,3,26,1.6923076923076923,1.5,0.7883771061734742,13,8,5,0,0,0,21,5,21,9.5367431640625e-07,True
6,"Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich traue mir zu, Grafiken richtig zu interpretieren. / (Spalten 1-5)",5,3,26,1.8846153846153846,2.0,0.7656068482934607,9,11,6,0,0,0,20,6,20,1.9073486328125e-06,True
6,Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher im Umgang mit Prozentangaben und Wahrscheinlichkeiten. / (Spalten 1-5),5,3,26,2.0384615384615383,2.0,0.9992304731449789,8,12,4,1,1,2,20,4,22,0.00012111663818359375,True
6,"Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich traue mir zu, statistische Informationen richtig zu interpretieren. / (Spalten 1-5)",5,3,26,2.076923076923077,2.0,0.9766504768063924,8,11,4,3,0,3,19,4,22,0.0008554458618164062,True
7,"Frage 7 - Bitte bewerten Sie die folgenden Punkte. - Wie wahrscheinlich ist es Ihrer Einschätzung nach, dass Sie mit diesem Zug pünktlich ankommen? / (Spalten 1-5)",5,3,26,4.076923076923077,4.0,1.0553891006856921,0,4,1,10,11,21,4,1,25,0.0009105205535888672,True
7,Frage 7 - Bitte bewerten Sie die folgenden Punkte. - Wie sicher fühlen Sie sich bei Ihrer Entscheidung? / (Spalten 1-5),5,3,26,2.576923076923077,2.0,1.2384854273854633,4,12,4,3,3,6,16,4,22,0.052478790283203125,False
7,"Frage 7 - Bitte bewerten Sie die folgenden Punkte. - Wie wahrscheinlich ist es Ihrer Einschätzung nach, dass der Zug mehr als 30 Minuten verspätet ankommt? / (Spalten 1-5)",5,3,26,2.8846153846153846,3.0,1.2434443478313961,4,7,5,8,2,10,11,5,21,1.0,False
8,Frage 8 - Bitte bewerten Sie die folgenden Punkte. - Ich habe diese Darstellung gut verstanden. / (Spalten 1-5),5,3,26,2.3846153846153846,2.0,1.0982503567738306,7,7,7,5,0,5,14,7,19,0.063568115234375,False
8,"Frage 8 - Bitte bewerten Sie die folgenden Punkte. - Mir war klar, was diese Vorhersage für meine Entscheidung bedeutet. / (Spalten 1-5)",5,3,26,2.6538461538461537,3.0,1.1642098674142112,5,7,7,6,1,7,12,7,19,0.359283447265625,False
8,Frage 8 - Bitte bewerten Sie die folgenden Punkte. - Ich konnte die Information schnell erfassen. / (Spalten 1-5),5,3,26,3.1923076923076925,3.5,1.3272296189953197,4,4,5,9,4,13,8,5,21,0.38331031799316406,False
9,"Frage 9 - Bitte bewerten Sie die folgenden Punkte. - Ich musste mich anstrengen, um die Darstellung zu verstehen. / (Spalten 1-5)",5,3,26,2.6923076923076925,2.0,1.3789628209413267,5,10,3,4,4,8,15,3,23,0.21003961563110352,False
9,Frage 9 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung war mental anstrengend. / (Spalten 1-5),5,3,26,2.8846153846153846,3.0,1.3364706678987932,4,8,5,5,4,9,12,5,21,0.6636238098144531,False
10,"Frage 10 - Bitte bewerten Sie die folgenden Punkte. - Ich hätte mir gewünscht, mehr Erklärungen für diese Darstellung zu erhalten. / (Spalten 1-5)",5,3,26,2.6538461538461537,2.0,1.3839742105200572,5,11,2,4,4,8,16,2,24,0.15158963203430176,False
10,Frage 10 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung wirkt professionell und seriös. / (Spalten 1-5),5,3,26,2.769230769230769,2.0,1.3056092005709,3,12,3,4,4,8,15,3,23,0.21003961563110352,False
10,Frage 10 - Bitte bewerten Sie die folgenden Punkte. - Ich würde mich im Alltag auf diese Information verlassen. / (Spalten 1-5),5,3,26,3.3076923076923075,3.0,1.1231822922119372,1,6,7,8,4,12,7,7,19,0.359283447265625,False
10,Frage 10 - Bitte bewerten Sie die folgenden Punkte. - Diese Darstellung hat mir bei der Entscheidung geholfen. / (Spalten 1-5),5,3,26,3.1153846153846154,3.5,1.1428708790383304,3,5,5,12,1,13,8,5,21,0.38331031799316406,False
