frage_nr,column,n,mean,median,std,min,max
4,"Frage 4 - Bitte bewerten Sie den folgenden Punkt. - Ich nutze regelmäßig Zug-/Bus-Apps, um Reiseentscheidungen zu treffen / (Spalten 1-5)",26,1.9615384615384615,1.5,1.280024038235821,1.0,5.0
6,Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher im Umgang mit Grafiken. / (Spalten 1-5),26,1.6923076923076923,1.5,0.7883771061734742,1.0,3.0
6,Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher im Umgang mit Prozentangaben und Wahrscheinlichkeiten. / (Spalten 1-5),26,2.0384615384615383,2.0,0.9992304731449789,1.0,5.0
6,"Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich traue mir zu, Grafiken richtig zu interpretieren. / (Spalten 1-5)",26,1.8846153846153846,2.0,0.7656068482934607,1.0,3.0
6,"Frage 6 - Bitte bewerten Sie die folgenden Punkte. - Ich traue mir zu, statistische Informationen richtig zu interpretieren. / (Spalten 1-5)",26,2.076923076923077,2.0,0.9766504768063924,1.0,4.0
7,Frage 7 - Bitte bewerten Sie die folgenden Punkte. - Wie sicher fühlen Sie sich bei Ihrer Entscheidung? / (Spalten 1-5),26,2.576923076923077,2.0,1.2384854273854633,1.0,5.0
7,"Frage 7 - Bitte bewerten Sie die folgenden Punkte. - Wie wahrscheinlich ist es Ihrer Einschätzung nach, dass Sie mit diesem Zug pünktlich ankommen? / (Spalten 1-5)",26,4.076923076923077,4.0,1.0553891006856921,2.0,5.0
7,"Frage 7 - Bitte bewerten Sie die folgenden Punkte. - Wie wahrscheinlich ist es Ihrer Einschätzung nach, dass der Zug mehr als 30 Minuten verspätet ankommt? / (Spalten 1-5)",26,2.8846153846153846,3.0,1.2434443478313961,1.0,5.0
8,Frage 8 - Bitte bewerten Sie die folgenden Punkte. - Ich habe diese Darstellung gut verstanden. / (Spalten 1-5),26,2.3846153846153846,2.0,1.0982503567738306,1.0,4.0
8,Frage 8 - Bitte bewerten Sie die folgenden Punkte. - Ich konnte die Information schnell erfassen. / (Spalten 1-5),26,3.1923076923076925,3.5,1.3272296189953197,1.0,5.0
